lambda	n	k
528	1.449745	2.38E-04
529	1.449686	2.37E-04
530	1.449627	2.36E-04
531	1.449569	2.35E-04
532	1.449511	2.35E-04
533	1.449454	2.34E-04
534	1.449396	2.33E-04
535	1.44934	2.33E-04
536	1.449283	2.32E-04
537	1.449227	2.31E-04
538	1.449171	2.30E-04
539	1.449115	2.30E-04
540	1.44906	2.29E-04
541	1.449005	0.0002283
542	1.44895	2.28E-04
543	1.448895	2.27E-04
544	1.448841	2.26E-04
545	1.448787	2.25E-04
546	1.448734	2.25E-04
547	1.44868	2.24E-04
548	1.448627	2.23E-04
549	1.448575	2.23E-04
550	1.448522	2.22E-04
551	1.44847	2.21E-04
552	1.448418	2.20E-04
553	1.448367	2.20E-04
554	1.448316	2.19E-04
555	1.448265	2.18E-04
556	1.448214	2.17E-04
557	1.448163	2.17E-04
558	1.448113	2.16E-04
559	1.448063	2.15E-04
560	1.448014	2.14E-04
561	1.447964	2.14E-04
562	1.447915	2.13E-04
563	1.447866	2.12E-04
564	1.447818	2.11E-04
565	1.447769	2.11E-04
566	1.447721	2.10E-04
567	1.447674	2.09E-04
568	1.447626	2.09E-04
569	1.447579	2.08E-04
570	1.447532	2.07E-04
571	1.447485	2.06E-04
572	1.447438	2.06E-04
573	1.447392	2.05E-04
574	1.447346	2.04E-04
575	1.4473	2.03E-04
576	1.447254	2.03E-04
577	1.447209	2.02E-04
578	1.447164	2.01E-04
579	1.447119	2.00E-04
580	1.447074	2.00E-04
581	1.44703	1.99E-04
582	1.446986	1.98E-04
583	1.446942	1.97E-04
584	1.446898	1.97E-04
585	1.446854	1.96E-04
586	1.446811	1.95E-04
587	1.446768	1.94E-04
588	1.446725	1.94E-04
589	1.446682	1.93E-04
590	1.44664	1.92E-04
591	1.446598	1.91E-04
592	1.446556	1.91E-04
593	1.446514	1.90E-04
594	1.446472	1.89E-04
595	1.446431	1.88E-04
596	1.44639	1.88E-04
597	1.446349	1.87E-04
598	1.446308	1.86E-04
599	1.446267	1.86E-04
600	1.446227	1.85E-04
601	1.446187	1.84E-04
602	1.446147	1.83E-04
603	1.446107	1.83E-04
604	1.446068	1.82E-04
605	1.446028	1.81E-04
606	1.445989	1.80E-04
607	1.44595	1.80E-04
608	1.445911	1.79E-04
609	1.445873	1.78E-04
610	1.445834	1.78E-04
611	1.445796	1.77E-04
612	1.445758	1.76E-04
613	1.44572	1.75E-04
614	1.445683	1.75E-04
615	1.445645	1.74E-04
616	1.445608	1.73E-04
617	1.445571	1.72E-04
618	1.445534	1.72E-04
619	1.445497	1.71E-04
620	1.445461	1.70E-04
621	1.445424	1.70E-04
622	1.445388	1.69E-04
623	1.445352	1.68E-04
624	1.445316	1.67E-04
625	1.44528	1.67E-04
626	1.445245	1.66E-04
627	1.445209	1.65E-04
628	1.445174	1.65E-04
629	1.445139	1.64E-04
630	1.445104	1.63E-04
631	1.44507	1.63E-04
632	1.445035	1.62E-04
633	1.445001	1.61E-04
634	1.444967	1.60E-04
635	1.444933	1.60E-04
636	1.444899	1.59E-04
