lambda	n	k
582	2.334344	5.51E-06
583	2.333856	5.33E-06
584	2.333371	5.15E-06
585	2.332891	4.98E-06
586	2.332415	4.82E-06
587	2.331943	4.66E-06
588	2.331475	4.50E-06
589	2.331011	4.35E-06
590	2.33055	4.21E-06
591	2.330094	4.07E-06
592	2.329641	3.93E-06
593	2.329193	3.80E-06
594	2.328748	3.68E-06
595	2.328307	3.55E-06
596	2.327869	3.44E-06
597	2.327435	3.32E-06
598	2.327005	3.21E-06
599	2.326578	3.10E-06
600	2.326155	3.00E-06
601	2.325736	2.90E-06
602	2.32532	2.81E-06
603	2.324907	2.71E-06
604	2.324498	2.62E-06
605	2.324092	2.53E-06
606	2.323689	2.45E-06
607	2.32329	2.37E-06
608	2.322894	2.29E-06
609	2.322501	2.21E-06
610	2.322112	2.14E-06
611	2.321725	2.07E-06
612	2.321342	2.00E-06
613	2.320962	1.93E-06
614	2.320585	1.87E-06
615	2.320211	1.81E-06
616	2.31984	1.75E-06
617	2.319472	1.69E-06
618	2.319107	1.63E-06
619	2.318745	1.58E-06
620	2.318386	1.53E-06
621	2.31803	1.48E-06
622	2.317677	1.43E-06
623	2.317326	1.38E-06
624	2.316979	1.33E-06
625	2.316634	1.29E-06
626	2.316291	1.25E-06
627	2.315952	1.21E-06
628	2.315615	1.17E-06
629	2.315281	1.13E-06
630	2.31495	1.09E-06
631	2.314621	1.05E-06
632	2.314295	1.02E-06
633	2.313971	9.84E-07
634	2.31365	9.51E-07
635	2.313331	9.20E-07
636	2.313015	8.89E-07
637	2.312702	8.60E-07
638	2.31239	8.31E-07
639	2.312082	8.03E-07
640	2.311775	7.77E-07
641	2.311471	7.51E-07
642	2.31117	7.26E-07
643	2.310871	7.02E-07
644	2.310574	6.78E-07
645	2.310279	6.56E-07
646	2.309987	6.34E-07
647	2.309696	6.13E-07
648	2.309409	5.93E-07
649	2.309123	5.73E-07
650	2.30884	5.54E-07
651	2.308558	5.36E-07
652	2.308279	5.18E-07
653	2.308002	5.01E-07
654	2.307727	4.84E-07
655	2.307454	4.68E-07
656	2.307184	4.52E-07
657	2.306915	4.37E-07
658	2.306648	4.23E-07
659	2.306384	4.09E-07
660	2.306121	3.95E-07
661	2.30586	3.82E-07
662	2.305602	3.69E-07
663	2.305345	3.57E-07
664	2.30509	3.45E-07
665	2.304837	3.34E-07
666	2.304586	3.23E-07
667	2.304337	3.12E-07
668	2.30409	3.01E-07
669	2.303845	2.91E-07
670	2.303601	2.82E-07
671	2.303359	2.72E-07
672	2.303119	2.63E-07
673	2.302881	2.55E-07
674	2.302645	2.46E-07
675	2.30241	2.38E-07
676	2.302177	2.30E-07
677	2.301946	2.22E-07
678	2.301716	2.15E-07
679	2.301488	2.08E-07
680	2.301262	2.01E-07
681	2.301038	1.94E-07
682	2.300815	1.88E-07
683	2.300594	1.82E-07
684	2.300374	1.76E-07
685	2.300156	1.70E-07
686	2.299939	1.64E-07
687	2.299725	1.59E-07
688	2.299511	1.53E-07
689	2.299299	1.48E-07
690	2.299089	1.43E-07
691	2.298881	1.39E-07
692	2.298673	1.34E-07
693	2.298468	1.30E-07
694	2.298263	1.25E-07
695	2.298061	1.21E-07
696	2.297859	1.17E-07
697	2.297659	1.13E-07
698	2.297461	1.09E-07
699	2.297264	1.06E-07
700	2.297068	1.02E-07
701	2.296874	9.88E-08
702	2.296681	9.55E-08
703	2.29649	9.24E-08
704	2.296299	8.93E-08
705	2.296111	8.63E-08
706	2.295923	8.35E-08
707	2.295737	8.07E-08
708	2.295552	7.80E-08
709	2.295369	7.54E-08
710	2.295186	7.29E-08
711	2.295005	7.05E-08
712	2.294826	6.81E-08
713	2.294647	6.59E-08
714	2.29447	6.37E-08
715	2.294294	6.16E-08
716	2.29412	5.95E-08
717	2.293946	5.75E-08
718	2.293774	5.56E-08
719	2.293603	5.38E-08
720	2.293433	5.20E-08
721	2.293264	5.03E-08
722	2.293096	4.86E-08
723	2.29293	4.70E-08
724	2.292765	4.54E-08
725	2.292601	4.39E-08
726	2.292438	4.25E-08
727	2.292276	4.10E-08
728	2.292115	3.97E-08
729	2.291955	3.84E-08
730	2.291797	3.71E-08
731	2.291639	3.59E-08
732	2.291483	3.47E-08
733	2.291327	3.35E-08
734	2.291173	3.24E-08
735	2.29102	3.13E-08
736	2.290867	3.03E-08
737	2.290716	2.93E-08
738	2.290566	2.83E-08
739	2.290417	2.74E-08
740	2.290269	2.65E-08
741	2.290122	2.56E-08
742	2.289975	2.47E-08
743	2.28983	2.39E-08
744	2.289686	2.31E-08
745	2.289543	2.23E-08
746	2.289401	2.16E-08
747	2.289259	2.09E-08
748	2.289119	2.02E-08
749	2.288979	1.95E-08
750	2.288841	1.89E-08
751	2.288703	1.82E-08
752	2.288567	1.76E-08
753	2.288431	1.70E-08
754	2.288296	1.65E-08
755	2.288162	1.59E-08
756	2.288029	1.54E-08
757	2.287897	1.49E-08
758	2.287765	1.44E-08
759	2.287635	1.39E-08
760	2.287505	1.35E-08
761	2.287376	1.30E-08
762	2.287248	1.26E-08
763	2.287121	1.22E-08
764	2.286995	1.18E-08
765	2.286869	1.14E-08
766	2.286745	1.10E-08
767	2.286621	1.06E-08
768	2.286498	1.03E-08
769	2.286376	9.93E-09
770	2.286254	9.60E-09
771	2.286134	9.28E-09
772	2.286014	8.97E-09
773	2.285895	8.67E-09
774	2.285776	8.38E-09
775	2.285659	8.10E-09
776	2.285542	7.84E-09
777	2.285426	7.57E-09
778	2.285311	7.32E-09
779	2.285196	7.08E-09
780	2.285082	6.84E-09
781	2.284969	6.62E-09
782	2.284857	6.40E-09
