lambda	n	k
0.555394291	5.003186962	0.402305574
0.5560444	4.997896527	0.394664033
0.556696032	4.992200084	0.388846594
0.557346687	4.986853607	0.384615261
0.557996355	4.982441216	0.381510773
0.558645021	4.979330584	0.378910371
0.559295197	4.977618371	0.376104567
0.55994436	4.977103001	0.372403384
0.560595031	4.977312772	0.367263438
0.561244675	4.977594759	0.360401979
0.561895827	4.977258935	0.351847276
0.56254594	4.975729354	0.341895605
0.563195	4.972634451	0.331018702
0.563845559	4.967834255	0.31972987
0.564495053	4.961382578	0.30849163
0.565146045	4.953456447	0.29765882
0.565795959	4.944290543	0.287469959
0.56644478	4.934129745	0.278058152
0.567095092	4.923197779	0.269474244
0.567744299	4.911683588	0.261716777
0.568394994	4.899738537	0.254750328
0.56904457	4.887476101	0.248520908
0.569695633	4.874981334	0.242967084
0.570345564	4.862314021	0.238028641
0.570994349	4.849515388	0.233643964
0.571644612	4.836609418	0.229762196
0.572296359	4.823610358	0.22633358
0.572944297	4.810522924	0.223317718
0.573596358	4.797343898	0.220677321
0.574244586	4.784067388	0.218382166
0.57489428	4.770682511	0.216406143
0.575545446	4.757174445	0.214729355
0.576195411	4.743527262	0.21333281
0.576844162	4.729722027	0.212203803
0.577494376	4.71573861	0.211330628
0.578146057	4.701554737	0.210705831
0.578796508	4.687146966	0.210325174
0.579445717	4.672489485	0.210185599
0.580096383	4.657555284	0.210288433
0.580745793	4.642316954	0.210634045
0.581396657	4.626742594	0.211227441
0.58204625	4.610801087	0.21207703
0.582694558	4.594455382	0.213190665
0.583344312	4.57766921	0.214581909
0.583995516	4.560401356	0.216264956
0.584645419	4.542608995	0.218257834
0.585294007	4.524245429	0.22058264
0.585944035	4.505258718	0.223262428
0.586595509	4.485592975	0.226327936
0.587245652	4.465186861	0.229812331
0.58789445	4.443973651	0.233755886
0.588544683	4.421880954	0.238204061
0.589196356	4.398827257	0.243210278
0.589843862	4.374723998	0.248837412
0.590495604	4.349470697	0.255157484
0.59114597	4.322960551	0.262255458
0.591794945	4.295068723	0.270231997
0.592445347	4.265661211	0.279205249
0.593094343	4.234585295	0.289314045
0.593744762	4.201671877	0.30072672
0.59439661	4.166728977	0.31364051
0.595044178	4.129545801	0.328296395
0.595696021	4.089880711	0.344984389
0.596346426	4.047467051	0.364059789
0.596995378	4.00200752	0.385958795
0.597645743	3.953171169	0.411220494
0.59829464	3.900599047	0.440514387
0.598944948	3.843902493	0.474685558
0.599593771	3.78268331	0.514803868
0.600244002	3.716552221	0.562228075
0.600895644	3.645185329	0.618705168
0.601545784	3.568407326	0.686477124
0.602194408	3.486356718	0.768422516
0.602844431	3.399754772	0.868194972
0.60349586	3.3103478	0.990314371
0.604145754	3.221569147	1.140077966
0.6047941	3.139367539	1.323075412
0.605443838	3.072942873	1.544045951
0.606094974	3.034776137	1.805116672
0.606744542	3.039478359	2.104102824
0.607395505	3.101909462	2.433931452
0.608044883	3.235970163	2.783128257
0.608695652	3.454631106	3.135864487
0.609344821	3.769798098	3.470055865
0.609995375	4.1894226	3.753815621
0.610644313	4.709274674	3.943196413
0.611294633	5.299679756	3.987840959
0.611946339	5.896463324	3.851738534
0.61259641	6.414669626	3.542413924
0.61324483	6.788155387	3.119074151
0.613894624	7.000861593	2.662362304
0.614545797	7.080141026	2.235018334
0.6151953	7.068806954	1.867370277
0.615846178	7.004597162	1.56510428
0.616495368	6.913788082	1.321747194
0.617145929	6.812477902	1.127078151
0.617794786	6.709749712	0.971087638
0.618445009	6.61037122	0.845326959
0.61909351	6.516613954	0.743099873
0.619746471	6.429357784	0.659243138
0.620394602	6.348736088	0.58981346
0.62104409	6.274501418	0.531806398
0.621694939	6.206226099	0.482920692
0.62234403	6.14341753	0.44138299
0.622994478	6.085572141	0.405818047
0.623646287	6.032210741	0.375148531
0.624296317	5.982887964	0.348523157
0.624944554	5.937202033	0.325266007
0.625594139	5.894790282	0.304831879
0.626245075	5.855329547	0.286782321
0.626894198	5.818533316	0.270758096
0.627544668	5.784146799	0.256464791
0.628196489	5.751944914	0.243660192
0.628846476	5.721726074	0.232140613
0.629494613	5.693313363	0.221736434
0.630144088	5.666547808	0.212306512
0.630794904	5.641287614	0.203730084
0.63144385	5.617407604	0.195903534
0.632094133	5.594795172	0.1887406
0.632745756	5.573348529	0.182164276
0.633395489	5.552976235	0.176110964
0.634043315	5.533596361	0.170524725
0.634695716	5.515135743	0.165354951
0.635346206	5.49752671	0.160561294
0.635994768	5.48070969	0.156104784
0.636644655	5.464628066	0.151953617
0.637295872	5.449232724	0.148078645
0.63794514	5.434477606	0.144453627
0.638595732	5.420320758	0.14105715
0.639244357	5.406725221	0.137868112
0.639894301	5.393653661	0.134869616
0.640545567	5.381075699	0.132044231
0.641194845	5.368961621	0.129378835
0.64184544	5.357283217	0.12686001
0.642494028	5.346015757	0.124476812
0.643143927	5.335136105	0.122218063
0.643795143	5.324622787	0.120074234
0.644444329	5.314456005	0.11803654
0.645094826	5.3046177	0.116098847
0.645743274	5.295088625	0.114252101
0.646396396	5.285855104	0.112490787
0.647044088	5.276901411	0.1108084
0.647696463	5.268213634	0.109201152
0.648343373	5.259778624	0.107662326
0.648994975	5.25158415	0.106188911
0.649644483	5.243618788	0.104775923
0.650295293	5.235872949	0.10341924
0.650943991	5.228335071	0.102115682
0.651593984	5.22099735	0.100862913
0.652245276	5.213849006	0.099656703
0.652894433	5.206884037	0.098495568
0.653544884	5.200093453	0.097375173
0.654193181	5.1934702	0.096294959
0.654846223	5.187007118	0.09525146
0.65549364	5.180697999	0.094243092
0.65614581	5.174535629	0.093268273
0.6567958	5.168515645	0.092325347
0.657443593	5.162631703	0.091411712
0.658096158	5.156878424	0.090526664
0.65874302	5.151251347	0.089668504
0.659394661	5.145746002	0.088836487
0.66004408	5.140356886	0.088027935
0.660694778	5.135080462	0.087243034
0.661343233	5.129912163	0.086480038
0.661992963	5.124849366	0.08573813
0.66264397	5.11988748	0.085016517
0.663296259	5.115022866	0.084314384
0.663946278	5.110252828	0.083629913
0.664594009	5.105573709	0.082963252
0.665243006	5.100982784	0.08231257
0.665893271	5.096477357	0.081678966
0.666544809	5.092053678	0.081059633
0.667194033	5.087710007	0.080455647
0.667844523	5.08344456	0.079866121
0.668496282	5.07925358	0.079290194
0.669145704	5.075135263	0.078726966
0.669796388	5.071087794	0.078175535
0.670444714	5.067108396	0.077636981
0.671094296	5.063195223	0.077109411
0.671745137	5.05934745	0.07659387
0.672393596	5.055561241	0.076088486
0.673043308	5.05183673	0.075593298
0.673694277	5.048170077	0.075107414
0.674342839	5.044561419	0.07463186
0.674996325	5.041008882	0.074165709
0.675643715	5.037510583	0.073708034
0.676296038	5.034065654	0.073259871
0.676945925	5.030671193	0.072819309
0.677593359	5.027327315	0.07238737
0.678245743	5.024033095	0.071962106
0.678895667	5.020785673	0.071545575
0.679543113	5.017584111	0.071135828
0.680195527	5.014428496	0.070732886
0.680845456	5.011316919	0.070336801
0.681492882	5.008248463	0.069947608
0.682145294	5.005221194	0.069564358
0.682795196	5.002235199	0.06918807
0.683446337	4.999289538	0.068817778
0.684094947	4.996382266	0.068452529
0.684744789	4.993513476	0.068094339
0.685395867	4.990682192	0.067740238
0.686044388	4.9878875	0.067392258
0.686694138	4.985127443	0.067049439
0.687345119	4.982402078	0.066711798
0.687993519	4.979711459	0.066379348
0.688643142	4.977053622	0.066051127
0.689293994	4.974428629	0.065728152
0.689946077	4.97183451	0.065409458
0.690595548	4.969272317	0.065095044
0.691246244	4.966741093	0.064784935
0.691894305	4.96423887	0.06447917
0.692543583	4.961765692	0.064177758
0.69319408	4.959321588	0.063879705
0.693845801	4.956904597	0.063586053
0.694494858	4.954515754	0.063295792
0.69514513	4.952154102	0.063009954
0.695792717	4.949817635	0.062726553
0.696445423	4.947508434	0.062447594
0.697095436	4.945223491	0.062172114
0.697742736	4.94296385	0.061900109
0.698395174	4.940728535	0.061631599
0.699044891	4.938516552	0.061365594
0.699695819	4.936328959	0.0611031
0.700344004	4.934163748	0.060843137
0.700993391	4.93202096	0.060586725
0.701643983	4.929900625	0.060333873
0.702295784	4.927802747	0.060082559
0.702944812	4.925725348	0.059834842
0.70359504	4.923669458	0.059589703
0.704242472	4.921633083	0.059348187
0.704895105	4.919618256	0.059108245
0.705544933	4.917622981	0.058870922
0.70619596	4.915646266	0.058636237
0.706844161	4.913690178	0.058405188
0.707493552	4.911751653	0.058174765
0.708144137	4.909832784	0.057948002
0.70879592	4.907931533	0.057722892
0.709444845	4.906047931	0.057500457
0.710094959	4.904183018	0.057280693
0.710746265	4.902334764	0.057062607
0.711394686	4.900503199	0.056847223
0.71204429	4.898689351	0.056633516
0.712695082	4.896891196	0.056421511
0.713342961	4.895109786	0.056212222
0.71399613	4.893344104	0.056004645
0.714642258	4.891594168	0.055798783
0.715293683	4.889860006	0.055595661
0.715942163	4.8881406	0.055394274
0.716595961	4.886436977	0.05519359
0.717242656	4.88474713	0.054995682
0.717894676	4.88307312	0.054800531
0.718543718	4.881412893	0.054606116
0.719193935	4.879766472	0.054413465
0.719845329	4.878133874	0.054222579
0.720493718	4.87651511	0.054033463
0.721143276	4.874910195	0.05384612
0.721794006	4.873319142	0.053660553
0.722445912	4.8717399	0.053475761
0.723094778	4.870174558	0.053293778
0.723744812	4.868622079	0.053112564
0.724396015	4.867081458	0.05293316
0.725044152	4.865553735	0.052755558
0.725693449	4.864037883	0.052578743
0.72634391	4.862533923	0.052403748
0.726995538	4.861042895	0.052230562
0.727644066	4.859562743	0.052058182
0.728293752	4.858094516	0.051887628
0.728944599	4.856637195	0.051718914
0.729592317	4.855191809	0.051551001
0.730245488	4.853756309	0.051383915
0.730895522	4.852332774	0.051218664
0.731542397	4.850920185	0.051055262
0.732194742	4.849517509	0.050892692
0.73284392	4.848126816	0.050730934
0.73349425	4.846745035	0.050571053
0.734145735	4.845374224	0.050411999
0.734794024	4.844013372	0.050254816
0.735443458	4.842662476	0.050098474
0.736094042	4.841321545	0.049942975
0.736745778	4.839990597	0.049789353
0.737394283	4.838668586	0.049635555
0.738043931	4.837356585	0.049484671
0.738694725	4.836053536	0.049333614
0.739342258	4.834760502	0.049184443
0.739995345	4.833476445	0.049036134
0.740645161	4.832201372	0.048888691
0.74129612	4.830935292	0.048742114
0.741943785	4.829677175	0.048596416
0.742592582	4.828429108	0.048452612
0.743242514	4.827189019	0.048309689
0.743893585	4.825957949	0.048167639
0.744545798	4.824734868	0.048026473
0.745194677	4.823519782	0.047886193
0.745844688	4.822313735	0.04774679
0.746495834	4.821114658	0.047608285
0.747143615	4.819924643	0.047471697
0.747792521	4.818742637	0.047334962
0.748442556	4.817567618	0.04719913
0.749093721	4.816401679	0.047065219
0.749746021	4.815242729	0.046931175
0.750394916	4.814090792	0.046799076
0.751044935	4.812946893	0.046666835
0.751696082	4.811811057	0.046536532
0.752343793	4.810681192	0.04640611
0.752992621	4.80955939	0.046276588
0.753642569	4.808445667	0.046149009
0.754293641	4.807337929	0.046021312
0.754945838	4.80623723	0.04589453
0.755594559	4.805143574	0.045768664
0.756244396	4.804056968	0.045643714
0.756895352	4.802977414	0.045519681
0.757542801	4.801904909	0.045395526
0.758195994	4.800838435	0.045273342
0.758845671	4.799777976	0.045151047
0.75949181	4.79872564	0.045030705
0.76014371	4.797678286	0.044910264
0.760792062	4.796638011	0.044790747
0.761441521	4.795604812	0.044671112
0.76209209	4.794576625	0.044553465
0.762743771	4.793555521	0.044435701
0.763391868	4.792539427	0.044318884
0.764045775	4.791530435	0.044202996
0.764696087	4.790527503	0.044088047
0.765342782	4.789530627	0.043972994
0.765995305	4.788538785	0.043859935
0.7666442	4.787553005	0.043746774
0.767294196	4.786573292	0.043633511
0.767945295	4.785599668	0.043522236
0.768592736	4.784631073	0.043410871
0.769246042	4.783668564	0.04330045
0.769895678	4.782712135	0.04318993
0.770541624	4.781759719	0.04308142
0.771193451	4.780814435	0.042972804
0.771841578	4.77987315	0.042864108
0.772495607	4.778937978	0.042757408
0.773145925	4.778007856	0.042650621
0.773792509	4.777082789	0.042543747
0.774445014	4.776163843	0.042438871
0.775093773	4.775248911	0.042333919
0.775743621	4.774340088	0.042228873
0.77639456	4.773435302	0.042125846
0.777041721	4.772536633	0.042022726
0.777694841	4.771641986	0.041919532
0.778344173	4.770753472	0.041817294
0.77899459	4.769868995	0.04171603
0.779646096	4.768989607	0.041615733
0.780293781	4.768114253	0.041515364
0.780942543	4.767245032	0.041414905
0.781592385	4.76637881	0.041315432
0.782243309	4.765518737	0.041216919
0.782895318	4.764662717	0.041119385
0.783543464	4.763811792	0.041021772
0.784192683	4.762964915	0.040924089
0.784842979	4.762122098	0.040827387
0.785494355	4.761284393	0.040731656
0.786141828	4.760450743	0.040635858
0.786795362	4.759622209	0.040541033
0.787444983	4.758797736	0.04044614
0.788095677	4.757977333	0.040352231
0.78874243	4.757161003	0.040259306
0.789395271	4.756348731	0.040165263
0.790044159	4.755541595	0.040073248
0.790694115	4.754738531	0.039981168
0.791345141	4.753938487	0.039889031
0.791992181	4.753143578	0.039797872
0.792645348	4.752352754	0.039707701
0.793294517	4.751564957	0.039617474
0.79394475	4.750782293	0.039527174
0.79459605	4.750003721	0.039437864
0.795243318	4.749228189	0.039349552
0.795891642	4.748456743	0.039261177
0.796541024	4.747689386	0.03917274
0.797191466	4.746926128	0.039085293
0.797842972	4.746165917	0.038998847
0.798495543	4.745410854	0.038912331
0.799144032	4.744657779	0.038825772
0.799793575	4.743909865	0.038740196
0.800444175	4.743164996	0.038654569
0.801095834	4.742424237	0.038569936
0.80174337	4.741686526	0.038485252
0.802391954	4.74095293	0.038401562
0.803041589	4.740222385	0.038317823
0.803692276	4.739494893	0.038234032
0.804344018	4.738772575	0.038151229
0.804991592	4.738052267	0.038069441
0.805645444	4.737336063	0.037986539
0.806295116	4.736622936	0.037905698
0.806945837	4.735913918	0.037823745
0.807592348	4.73520797	0.037742798
0.808245165	4.734505095	0.037662859
0.80889376	4.733806341	0.037582864
0.809543398	4.733109598	0.037502829
0.81019408	4.732416987	0.037423794
0.810845808	4.731727446	0.037344712
0.811493275	4.731042034	0.037265575
0.812141776	4.730358645	0.037187455
0.812791315	4.729678329	0.037109289
0.813441894	4.729002155	0.037032125
0.814093515	4.728327999	0.036954924
0.814740826	4.727657987	0.036878725
0.815394531	4.726991046	0.036801424
0.816043914	4.726326143	0.0367262
0.816694332	4.725665372	0.036649865
0.817345788	4.725007693	0.036574544
0.817992888	4.724352039	0.036499185
0.818641013	4.723699479	0.03642484
0.819295579	4.723051064	0.036350443
0.819945771	4.722404679	0.03627601
0.820591564	4.72176139	0.036202592
0.821243815	4.721120133	0.036129138
0.821891655	4.720483035	0.036056691
0.822545976	4.71984797	0.03598421
0.823195873	4.719215999	0.035911685
0.823841324	4.718587124	0.035839118
0.82449327	4.717961352	0.035767567
0.825140758	4.717337618	0.035695982
0.825794764	4.716716991	0.035625415
0.826444298	4.716099463	0.035554806
0.827094855	4.715483976	0.035484163
0.82774091	4.71487159	0.035413478
0.828393511	4.714261256	0.03534382
0.829041598	4.713654025	0.03527412
0.8296907	4.713049907	0.035205441
0.830340819	4.712447826	0.035135668
0.830991957	4.711848869	0.035067975
0.831644118	4.711251951	0.03499919
0.832291716	4.710657088	0.034931432
0.832945919	4.710066398	0.034863627
0.833595546	4.709476696	0.034795798
0.834240575	4.708890114	0.03472899
0.834892224	4.708306645	0.034662143
0.835544893	4.707725229	0.034595265
0.836192943	4.707145866	0.034528354
0.836841999	4.706569628	0.034462467
0.837492063	4.705995444	0.034396548
0.838143138	4.705423325	0.034331661
0.838795226	4.704854324	0.034266736
0.839442646	4.704287381	0.03420178
0.840091067	4.703722496	0.034136793
0.84074049	4.703160741	0.034072831
0.841390917	4.702599975	0.034007783
0.842042352	4.702043412	0.033944816
0.842694796	4.70148784	0.033880764
0.843342516	4.700934337	0.033817745
0.843991232	4.700383961	0.033754689
0.844640947	4.699835649	0.033691604
0.845291663	4.699289401	0.033628489
0.845943383	4.698746291	0.033566401
0.846590327	4.698204182	0.033504291
0.847244051	4.697665212	0.033443209
0.847892988	4.697127238	0.033381042
0.848542919	4.696592405	0.033319902
0.849193847	4.69605964	0.033258734
0.849845774	4.695528953	0.033198603
0.850492869	4.695000329	0.033137378
0.851140951	4.694473783	0.03307719
0.851795872	4.693950375	0.033016966
0.852445942	4.693427981	0.032957787
0.853091134	4.692907654	0.032897515
0.853743183	4.692389408	0.032838281
