lambda	n	k
0.47	1.51	0.00
0.47	1.51	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.49	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.50	0.00
0.47	1.51	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.50	0.00
0.48	1.49	0.00
0.48	1.49	0.00
0.48	1.49	0.00
0.48	1.48	0.00
0.48	1.48	0.00
0.49	1.48	0.00
0.49	1.49	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.50	0.00
0.49	1.49	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.50	1.50	0.00
0.51	1.50	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.49	0.00
0.51	1.50	0.00
0.51	1.51	0.00
0.52	1.50	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.52	1.50	0.00
0.52	1.50	0.00
0.52	1.50	0.00
0.52	1.51	0.00
0.52	1.51	0.00
0.53	1.51	0.00
0.53	1.51	0.00
0.53	1.51	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.53	1.49	0.00
0.53	1.49	0.00
0.53	1.50	0.00
0.53	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.51	0.00
0.54	1.51	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.54	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.50	0.00
0.55	1.49	0.00
0.55	1.49	0.00
0.56	1.50	0.00
0.56	1.49	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.51	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.56	1.50	0.00
0.57	1.49	0.00
0.57	1.48	0.00
0.57	1.48	0.00
0.57	1.49	0.00
0.57	1.50	0.00
0.57	1.50	0.00
0.57	1.49	0.00
0.57	1.49	0.00
0.57	1.49	0.00
0.57	1.48	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.50	0.00
0.58	1.50	0.00
0.58	1.50	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.58	1.49	0.00
0.59	1.49	0.00
0.59	1.50	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.49	0.00
0.59	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.51	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.60	1.49	0.00
0.60	1.50	0.00
0.60	1.50	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.50	0.00
0.61	1.50	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.61	1.49	0.00
0.62	1.49	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.50	0.00
0.62	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.50	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.49	0.00
0.63	1.48	0.00
0.63	1.48	0.00
0.64	1.48	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.64	1.50	0.00
0.64	1.50	0.00
0.64	1.48	0.00
0.64	1.48	0.00
0.64	1.49	0.00
0.64	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.50	0.00
0.65	1.50	0.00
0.65	1.50	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.65	1.49	0.00
0.66	1.50	0.00
0.66	1.51	0.00
0.66	1.51	0.00
0.66	1.50	0.00
0.66	1.50	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.66	1.49	0.00
0.67	1.50	0.00
0.67	1.50	0.00
0.67	1.49	0.00
0.67	1.49	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.67	1.48	0.00
0.68	1.48	0.00
0.68	1.49	0.00
0.68	1.50	0.00
0.68	1.49	0.00
0.68	1.50	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.68	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.49	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.69	1.48	0.00
0.70	1.49	0.00
0.70	1.50	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.51	0.00
0.70	1.49	0.00
0.70	1.48	0.00
0.70	1.48	0.00
0.71	1.48	0.00
0.71	1.49	0.00
0.71	1.50	0.00
0.71	1.50	0.00
0.71	1.51	0.00
0.71	1.50	0.00
0.71	1.49	0.00
0.71	1.48	0.00
0.71	1.48	0.00
0.71	1.48	0.00
0.72	1.49	0.00
0.72	1.50	0.00
0.72	1.51	0.00
0.72	1.50	0.00
0.72	1.50	0.00
0.72	1.49	0.00
0.72	1.48	0.00
0.72	1.47	0.00
0.72	1.47	0.00
0.72	1.47	0.00
0.73	1.48	0.00
0.73	1.49	0.00
0.73	1.50	0.00
0.73	1.49	0.00
0.73	1.49	0.00
0.73	1.48	0.00
0.73	1.48	0.00
0.73	1.47	0.00
0.73	1.47	0.00
0.73	1.48	0.00
0.74	1.49	0.00
0.74	1.50	0.00
0.74	1.50	0.00
0.74	1.50	0.00
0.74	1.51	0.00
0.74	1.51	0.00
0.74	1.51	0.00
0.74	1.51	0.00
0.74	1.50	0.00
0.74	1.50	0.00
0.75	1.50	0.00
0.75	1.50	0.00
0.75	1.49	0.00
0.75	1.49	0.00
0.75	1.50	0.00
0.75	1.49	0.00
0.75	1.49	0.00
0.75	1.48	0.00
0.75	1.47	0.00
0.76	1.49	0.00
0.76	1.50	0.00
0.76	1.50	0.00
0.76	1.51	0.00
0.76	1.51	0.00
0.76	1.50	0.00
0.76	1.50	0.00
0.76	1.50	0.00
0.76	1.49	0.00
0.76	1.50	0.00
0.77	1.52	0.00
0.77	1.52	0.00
0.77	1.52	0.00
0.77	1.50	0.00
0.77	1.49	0.00
0.77	1.49	0.00
0.77	1.48	0.00
0.77	1.48	0.00
0.77	1.48	0.00
0.77	1.48	0.00
0.78	1.50	0.00
0.78	1.50	0.00
0.78	1.51	0.00
0.78	1.51	0.00
0.78	1.52	0.00
0.78	1.50	0.00
0.78	1.50	0.00
0.78	1.49	0.00
0.78	1.48	0.00
0.78	1.47	0.00
0.79	1.48	0.00
0.79	1.48	0.00
0.79	1.48	0.00
0.79	1.48	0.00
0.79	1.48	0.00
0.79	1.47	0.00
0.79	1.47	0.00
0.79	1.47	0.00
0.79	1.47	0.01
0.79	1.47	0.00
0.80	1.47	0.00
0.80	1.49	0.00
0.80	1.49	0.00
0.80	1.49	0.00
0.80	1.50	0.01
0.80	1.50	0.00
0.80	1.50	0.00
0.80	1.49	0.00
0.80	1.47	0.00
0.80	1.46	0.00
0.81	1.46	0.01
0.81	1.47	0.01
0.81	1.47	0.01
0.81	1.48	0.01
0.81	1.48	0.01
0.81	1.49	0.00
0.91	1.49	0.00
0.91	1.49	0.00
0.91	1.50	0.00
0.91	1.50	0.00
0.91	1.49	0.00
0.92	1.49	0.00
0.92	1.49	0.00
0.92	1.49	0.00
0.92	1.49	0.00
0.92	1.48	0.00
0.92	1.48	0.00
0.92	1.48	0.00
0.92	1.48	0.00
0.92	1.48	0.00
0.92	1.48	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.93	1.47	0.00
0.93	1.47	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.93	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.94	1.48	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.95	1.47	0.00
0.95	1.47	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.95	1.48	0.00
0.96	1.47	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.96	1.48	0.00
0.97	1.47	0.00
0.97	1.47	0.00
0.97	1.47	0.00
0.97	1.48	0.00
0.97	1.47	0.00
0.97	1.47	0.00
0.97	1.48	0.00
0.97	1.48	0.00
0.97	1.48	0.00
0.97	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.47	0.00
0.98	1.48	0.00
0.98	1.48	0.00
0.98	1.48	0.00
0.99	1.47	0.00
0.99	1.47	0.00
0.99	1.47	0.00
0.99	1.48	0.00
0.99	1.47	0.00
0.99	1.47	0.00
0.99	1.47	0.00
0.99	1.48	0.00
0.99	1.47	0.00
0.99	1.48	0.00
1.00	1.48	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.47	0.00
1.00	1.48	0.00
1.00	1.47	0.00
1.01	1.48	0.00
1.01	1.48	0.00
1.01	1.48	0.00
1.01	1.47	0.00
1.01	1.47	0.00
1.01	1.47	0.00
1.01	1.47	0.00
1.01	1.48	0.00
1.01	1.48	0.00
1.01	1.48	0.00
1.02	1.48	0.00
1.02	1.48	0.00
1.02	1.47	0.00
1.02	1.47	0.00
1.02	1.47	0.00
1.02	1.48	0.00
1.02	1.48	0.00
1.02	1.47	0.00
1.02	1.47	0.00
1.02	1.47	0.00
1.03	1.47	0.00
1.03	1.47	0.00
1.03	1.47	0.00
1.03	1.47	0.00
1.03	1.48	0.00
1.03	1.48	0.00
1.03	1.48	0.00
1.03	1.48	0.00
1.03	1.48	0.00
1.03	1.48	0.00
1.04	1.48	0.00
1.04	1.47	0.00
1.04	1.47	0.00
1.04	1.48	0.00
1.04	1.48	0.00
1.04	1.47	0.00
1.04	1.47	0.00
1.04	1.47	0.00
1.04	1.47	0.00
1.04	1.48	0.00
1.05	1.47	0.00
1.05	1.48	0.00
1.05	1.48	0.00
1.05	1.48	0.00
1.05	1.48	0.00
1.05	1.48	0.00
1.05	1.48	0.00
1.05	1.47	0.00
1.05	1.47	0.00
1.05	1.47	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.47	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.06	1.48	0.00
1.07	1.48	0.00
1.07	1.48	0.00
1.07	1.48	0.00
1.07	1.48	0.00
1.07	1.48	0.00
1.07	1.48	0.00
1.07	1.47	0.00
1.07	1.47	0.00
1.07	1.47	0.00
1.07	1.47	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.48	0.00
1.08	1.47	0.00
1.08	1.47	0.00
1.08	1.48	0.00
1.09	1.48	0.00
1.09	1.48	0.00
1.09	1.48	0.00
1.09	1.48	0.00
1.09	1.48	0.00
1.09	1.47	0.00
1.09	1.47	0.00
1.09	1.47	0.00
1.09	1.47	0.00
1.09	1.48	0.00
1.10	1.47	0.00
1.10	1.47	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.10	1.48	0.00
1.11	1.47	0.00
1.11	1.47	0.00
1.11	1.47	0.00
1.11	1.47	0.00
1.11	1.47	0.00
1.11	1.47	0.00
1.11	1.48	0.00
1.11	1.48	0.00
1.11	1.48	0.00
1.11	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.47	0.00
1.12	1.48	0.00
1.12	1.48	0.00
1.13	1.48	0.00
1.13	1.48	0.00
1.13	1.48	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.13	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.14	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.15	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.16	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.17	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.18	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.19	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.20	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.21	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.22	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.23	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.24	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.25	1.47	0.00
1.26	1.47	0.00
1.26	1.47	0.00
1.26	1.47	0.00
1.26	1.47	0.00
1.26	1.47	0.00
1.26	1.47	0.00
1.26	1.48	0.00
1.26	1.48	0.00
1.26	1.48	0.00
1.26	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.27	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.28	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.29	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.47	0.00
1.30	1.48	0.00
1.30	1.48	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.31	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.32	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.33	1.47	0.00
1.34	1.47	0.00
1.34	1.46	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.34	1.47	0.00
1.35	1.47	0.00
1.35	1.46	0.00
1.35	1.46	0.00
1.35	1.47	0.00
1.35	1.47	0.00
1.35	1.47	0.00
1.35	1.47	0.00
1.35	1.46	0.00
1.35	1.47	0.00
1.35	1.47	0.00
1.36	1.47	0.00
1.36	1.46	0.00
1.36	1.47	0.00
1.36	1.47	0.00
1.36	1.47	0.00
1.36	1.47	0.00
1.36	1.46	0.00
1.36	1.46	0.00
1.36	1.46	0.00
1.36	1.47	0.00
1.37	1.47	0.00
1.37	1.47	0.00
1.37	1.46	0.00
1.37	1.47	0.00
1.37	1.47	0.00
1.37	1.46	0.00
1.37	1.46	0.00
1.37	1.46	0.00
1.37	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.38	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.47	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.39	1.46	0.00
1.40	1.46	0.00
1.40	1.47	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.40	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.41	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.42	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.43	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.44	1.46	0.00
1.45	1.46	0.00
1.45	1.46	0.00
1.45	1.46	0.00
1.45	1.46	0.00
1.45	1.46	0.00
1.45	1.47	0.00
1.45	1.47	0.00
1.45	1.47	0.00
1.45	1.47	0.00
1.45	1.46	0.00
1.46	1.46	0.00
1.46	1.46	0.00
1.46	1.46	0.00
1.46	1.46	0.00
1.46	1.46	0.00
1.46	1.46	0.00
1.46	1.47	0.00
1.46	1.47	0.00
1.46	1.47	0.00
