lambda	n	k
1.46	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.47	1.47	0.00
1.47	1.46	0.00
1.47	1.46	0.00
1.48	1.46	0.00
1.48	1.46	0.00
1.48	1.46	0.00
1.48	1.46	0.00
1.48	1.47	0.00
1.48	1.46	0.00
1.48	1.47	0.00
1.48	1.47	0.00
1.48	1.47	0.00
1.48	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.46	0.00
1.49	1.47	0.00
1.49	1.47	0.00
1.49	1.47	0.00
1.50	1.46	0.00
1.50	1.47	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.46	0.00
1.50	1.47	0.00
1.51	1.46	0.00
1.51	1.47	0.00
1.51	1.47	0.00
1.51	1.47	0.00
1.51	1.47	0.00
1.51	1.47	0.00
1.51	1.46	0.00
1.51	1.46	0.00
1.51	1.47	0.00
1.51	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.52	1.47	0.00
1.53	1.47	0.00
1.53	1.46	0.00
1.53	1.46	0.00
1.53	1.46	0.00
1.53	1.46	0.00
1.53	1.46	0.00
1.53	1.47	0.00
1.53	1.47	0.00
1.53	1.47	0.00
1.53	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.54	1.47	0.00
1.55	1.46	0.00
1.55	1.47	0.00
1.55	1.46	0.00
1.55	1.47	0.00
1.55	1.47	0.00
1.55	1.47	0.00
1.55	1.46	0.00
1.55	1.47	0.00
1.55	1.47	0.00
1.55	1.47	0.00
1.56	1.47	0.00
1.56	1.47	0.00
1.56	1.47	0.00
1.56	1.46	0.00
1.56	1.46	0.00
1.56	1.46	0.00
1.56	1.46	0.00
1.56	1.46	0.00
1.56	1.47	0.00
1.56	1.47	0.00
1.57	1.47	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.46	0.00
1.57	1.47	0.00
1.58	1.47	0.00
1.58	1.47	0.00
1.58	1.47	0.00
1.58	1.47	0.00
1.58	1.47	0.00
1.58	1.47	0.00
1.58	1.46	0.00
1.58	1.46	0.00
1.58	1.46	0.00
1.58	1.46	0.00
1.59	1.46	0.00
1.59	1.46	0.00
1.59	1.46	0.00
1.59	1.47	0.00
1.59	1.47	0.00
1.59	1.47	0.00
1.59	1.47	0.00
1.59	1.46	0.00
1.59	1.46	0.00
1.59	1.46	0.00
1.60	1.46	0.00
1.60	1.46	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.47	0.00
1.60	1.46	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.61	1.47	0.00
1.61	1.47	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.61	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.62	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.63	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.47	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.64	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.65	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.46	0.00
1.66	1.45	0.00
1.66	1.45	0.00
1.67	1.45	0.00
1.67	1.45	0.00
1.67	1.45	0.00
1.67	1.45	0.00
1.67	1.46	0.00
1.67	1.46	0.00
1.67	1.46	0.00
1.67	1.45	0.00
1.67	1.45	0.00
1.67	1.45	0.00
1.68	1.45	0.00
1.68	1.45	0.00
1.68	1.45	0.00
1.68	1.45	0.00
1.68	1.45	0.00
1.68	1.45	0.00
1.68	1.46	0.00
1.68	1.46	0.00
1.68	1.46	0.00
1.68	1.46	0.00
1.69	1.46	0.00
1.69	1.46	0.00
1.69	1.46	0.00
1.69	1.45	0.00
1.69	1.45	0.00
1.69	1.46	0.00
1.69	1.46	0.00
1.69	1.46	0.00
1.69	1.46	0.00
1.69	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.70	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.71	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.72	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.45	0.00
1.73	1.46	0.00
1.73	1.46	0.00
1.73	1.46	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.74	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.75	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.76	1.46	0.00
1.76	1.45	0.00
1.76	1.45	0.00
1.77	1.45	0.00
1.77	1.45	0.00
1.77	1.45	0.00
1.77	1.45	0.00
1.77	1.45	0.00
1.77	1.46	0.00
1.77	1.46	0.00
1.77	1.46	0.00
1.77	1.46	0.00
1.77	1.46	0.00
1.78	1.46	0.00
1.78	1.46	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.45	0.00
1.78	1.46	0.00
1.79	1.46	0.00
1.79	1.46	0.00
1.79	1.46	0.00
1.79	1.46	0.00
1.79	1.45	0.00
1.79	1.45	0.00
1.79	1.45	0.00
1.79	1.45	0.00
1.79	1.45	0.00
1.79	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.46	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.80	1.45	0.00
1.81	1.46	0.00
1.81	1.46	0.00
1.81	1.46	0.00
1.81	1.46	0.00
1.81	1.45	0.00
1.81	1.45	0.00
1.81	1.45	0.00
1.81	1.45	0.00
1.81	1.46	0.00
1.81	1.46	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.82	1.45	0.00
1.82	1.45	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.82	1.46	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.45	0.00
1.83	1.46	0.00
1.83	1.46	0.00
1.84	1.46	0.00
1.84	1.46	0.00
1.84	1.46	0.00
1.84	1.45	0.00
1.84	1.45	0.00
1.84	1.45	0.00
1.84	1.45	0.00
1.84	1.45	0.00
1.84	1.45	0.00
1.84	1.46	0.00
1.85	1.45	0.00
1.85	1.46	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.45	0.00
1.85	1.44	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.86	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.45	0.00
1.87	1.44	0.00
1.88	1.45	0.00
1.88	1.45	0.00
1.88	1.45	0.00
1.88	1.45	0.00
1.88	1.45	0.00
1.88	1.44	0.00
1.88	1.44	0.00
1.88	1.44	0.00
1.88	1.44	0.00
1.88	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.89	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.45	0.00
1.90	1.44	0.00
1.90	1.44	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.91	1.45	0.00
1.91	1.45	0.00
1.91	1.44	0.00
1.91	1.44	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.92	1.45	0.00
1.92	1.45	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.92	1.44	0.00
1.93	1.44	0.00
1.93	1.44	0.00
1.93	1.44	0.00
1.93	1.45	0.00
1.93	1.45	0.00
1.93	1.45	0.00
1.93	1.45	0.00
1.93	1.44	0.00
1.93	1.44	0.00
1.93	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.44	0.00
1.94	1.45	0.00
1.94	1.45	0.00
1.94	1.45	0.00
1.95	1.45	0.00
1.95	1.45	0.00
1.95	1.45	0.00
1.95	1.44	0.00
1.95	1.44	0.00
1.95	1.44	0.00
1.95	1.44	0.00
1.95	1.45	0.00
1.95	1.45	0.00
1.95	1.45	0.00
1.96	1.45	0.00
1.96	1.45	0.00
1.96	1.45	0.00
1.96	1.44	0.00
1.96	1.45	0.00
1.96	1.44	0.00
1.96	1.44	0.00
1.96	1.44	0.00
1.96	1.44	0.00
1.96	1.44	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.45	0.00
1.97	1.44	0.00
1.97	1.44	0.00
1.97	1.44	0.00
1.98	1.44	0.00
1.98	1.44	0.00
1.98	1.44	0.00
1.98	1.45	0.00
1.98	1.45	0.00
1.98	1.45	0.00
1.98	1.45	0.00
1.98	1.44	0.00
1.98	1.44	0.00
1.98	1.44	0.00
1.99	1.44	0.00
1.99	1.44	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
1.99	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.46	0.00
2.00	1.46	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.00	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.01	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.02	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.45	0.00
2.03	1.46	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.04	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.05	1.45	0.00
2.06	1.45	0.00
2.06	1.45	0.00
2.06	1.44	0.00
2.06	1.45	0.00
2.06	1.45	0.00
2.06	1.45	0.00
2.06	1.45	0.00
2.06	1.45	0.00
2.06	1.44	0.00
2.06	1.44	0.00
2.06	1.44	0.00
2.07	1.44	0.00
2.07	1.44	0.00
2.07	1.44	0.00
2.07	1.45	0.00
2.07	1.45	0.00
2.07	1.44	0.00
2.07	1.45	0.00
2.07	1.45	0.00
2.07	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.45	0.00
2.08	1.44	0.00
2.08	1.44	0.00
2.08	1.44	0.00
2.09	1.44	0.00
2.09	1.45	0.00
2.09	1.45	0.00
2.09	1.45	0.00
2.09	1.45	0.00
2.09	1.45	0.00
2.09	1.44	0.00
2.09	1.44	0.00
2.09	1.44	0.00
2.10	1.44	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.10	1.45	0.00
2.11	1.45	0.00
2.11	1.45	0.00
2.11	1.45	0.00
2.11	1.44	0.00
2.11	1.44	0.00
2.11	1.45	0.00
2.11	1.44	0.00
2.11	1.44	0.00
2.11	1.44	0.00
2.12	1.44	0.00
2.12	1.45	0.00
2.12	1.45	0.00
2.12	1.45	0.00
2.12	1.45	0.00
2.12	1.45	0.00
2.12	1.44	0.00
2.12	1.44	0.00
2.12	1.44	0.00
2.12	1.44	0.00
2.13	1.44	0.00
2.13	1.44	0.00
2.13	1.45	0.00
2.13	1.44	0.00
2.13	1.45	0.00
2.13	1.45	0.00
2.13	1.44	0.00
2.13	1.44	0.00
2.13	1.44	0.00
2.13	1.44	0.00
2.13	1.44	0.00
2.14	1.44	0.00
2.14	1.44	0.00
2.14	1.44	0.00
2.14	1.45	0.00
2.14	1.45	0.00
2.14	1.45	0.00
2.14	1.45	0.00
2.14	1.45	0.00
2.14	1.45	0.00
2.15	1.45	0.00
2.15	1.44	0.00
2.15	1.44	0.00
2.15	1.44	0.00
2.15	1.44	0.00
2.15	1.44	0.00
2.15	1.44	0.00
2.15	1.45	0.00
2.15	1.45	0.00
2.15	1.45	0.00
2.15	1.44	0.00
2.16	1.44	0.00
2.16	1.44	0.00
2.16	1.44	0.00
2.16	1.44	0.00
2.16	1.44	0.00
2.16	1.45	0.00
2.16	1.45	0.00
2.16	1.45	0.00
2.16	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.45	0.00
2.17	1.44	0.00
2.17	1.44	0.00
2.17	1.44	0.00
2.17	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.18	1.44	0.00
2.19	1.44	0.00
2.19	1.44	0.00
2.19	1.44	0.00
2.19	1.44	0.00
2.19	1.45	0.00
2.19	1.45	0.00
2.19	1.44	0.00
2.19	1.43	0.00
2.19	1.43	0.00
2.19	1.43	0.00
2.19	1.43	0.00
2.20	1.44	0.00
2.20	1.44	0.00
2.20	1.44	0.00
2.20	1.44	0.00
2.20	1.44	0.00
2.20	1.43	0.00
2.20	1.43	0.00
2.20	1.43	0.00
2.20	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.44	0.00
2.21	1.43	0.00
2.21	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.22	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.43	0.00
2.23	1.42	0.00
2.23	1.42	0.00
2.23	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.24	1.42	0.00
2.25	1.42	0.00
2.25	1.42	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.25	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.26	1.41	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.42	0.00
2.27	1.41	0.00
2.27	1.41	0.00
2.28	1.41	0.00
2.28	1.41	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.28	1.42	0.00
2.29	1.42	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.29	1.41	0.00
2.30	1.41	0.00
2.30	1.41	0.00
2.30	1.41	0.00
2.30	1.41	0.00
2.30	1.41	0.00
2.30	1.42	0.00
2.30	1.42	0.00
2.30	1.42	0.00
2.30	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.42	0.00
2.31	1.41	0.00
2.31	1.41	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.32	1.42	0.00
2.33	1.42	0.00
2.33	1.41	0.00
2.33	1.41	0.00
2.33	1.41	0.00
2.33	1.41	0.00
2.33	1.41	0.00
2.33	1.42	0.00
2.33	1.42	0.00
2.33	1.42	0.00
2.33	1.42	0.00
2.33	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.34	1.42	0.00
2.35	1.42	0.00
2.35	1.42	0.00
2.35	1.41	0.00
2.35	1.42	0.00
2.35	1.41	0.00
2.35	1.41	0.00
2.35	1.41	0.00
2.35	1.41	0.00
2.35	1.40	0.00
2.35	1.40	0.00
2.35	1.41	0.00
2.36	1.41	0.00
2.36	1.41	0.00
2.36	1.41	0.00
2.36	1.42	0.00
2.36	1.42	0.00
2.36	1.43	0.00
2.36	1.42	0.00
2.36	1.42	0.00
2.36	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.42	0.00
2.37	1.41	0.00
2.37	1.41	0.00
2.37	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.41	0.00
2.38	1.42	0.00
2.38	1.42	0.00
2.38	1.42	0.00
2.39	1.42	0.00
2.39	1.42	0.00
2.39	1.41	0.00
2.39	1.41	0.00
2.39	1.41	0.00
2.39	1.41	0.00
2.39	1.40	0.00
2.39	1.40	0.00
2.39	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.40	0.00
2.40	1.41	0.00
2.40	1.41	0.00
2.40	1.41	0.00
2.40	1.41	0.00
2.41	1.42	0.00
2.41	1.42	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.41	1.41	0.00
2.42	1.42	0.00
2.42	1.42	0.00
2.42	1.42	0.00
2.42	1.42	0.00
2.42	1.41	0.00
2.42	1.41	0.00
2.42	1.42	0.00
2.42	1.41	0.00
2.42	1.41	0.00
2.42	1.42	0.00
2.42	1.42	0.00
2.43	1.42	0.00
2.43	1.41	0.00
2.43	1.41	0.00
2.43	1.41	0.00
2.43	1.42	0.00
2.43	1.42	0.00
2.43	1.42	0.00
2.43	1.42	0.00
2.43	1.42	0.00
2.44	1.41	0.00
2.44	1.41	0.00
2.44	1.41	0.00
2.44	1.41	0.00
2.44	1.41	0.00
2.44	1.41	0.00
2.44	1.42	0.00
2.44	1.42	0.00
2.44	1.42	0.00
2.44	1.43	0.00
2.44	1.43	0.00
2.45	1.42	0.00
2.45	1.42	0.00
2.45	1.42	0.00
2.45	1.42	0.00
2.45	1.42	0.00
2.45	1.41	0.00
2.45	1.41	0.00
2.45	1.41	0.00
2.45	1.41	0.00
2.46	1.41	0.00
2.46	1.41	0.00
2.46	1.41	0.00
2.46	1.42	0.00
2.46	1.42	0.00
2.46	1.43	0.00
2.46	1.43	0.00
2.46	1.43	0.00
2.46	1.43	0.00
2.46	1.43	0.00
2.46	1.43	0.00
2.47	1.43	0.00
2.47	1.43	0.00
2.47	1.43	0.00
2.47	1.44	0.00
2.47	1.44	0.00
2.47	1.44	0.00
2.47	1.44	0.00
2.47	1.44	0.00
2.47	1.44	0.00
2.48	1.43	0.00
2.48	1.42	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.48	1.41	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.42	0.00
2.49	1.41	0.00
2.50	1.40	0.00
2.50	1.40	0.00
2.50	1.40	0.00
2.50	1.40	0.00
2.50	1.41	0.00
2.50	1.42	0.00
